序号,子集,掉落种类,物品id,说明,最小数量,最大数量,权重,备注
13024,56000008,戒指,53567,21-23阶紫,1,1,12,
13025,56000008,戒指,53568,21-23阶紫,1,1,12,
13026,56000008,手腕,53569,21-23阶紫,1,1,24,
13027,56000008,手腕,53570,21-23阶紫,1,1,24,
13028,56000008,手腕,53571,21-23阶紫,1,1,24,
13029,56000008,头盔,53572,21-23阶紫,1,1,6,
13030,56000008,头盔,53573,21-23阶紫,1,1,6,
13031,56000008,头盔,53574,21-23阶紫,1,1,6,
13032,56000008,头盔,53575,21-23阶紫,1,1,6,
13033,56000008,头盔,53576,21-23阶紫,1,1,6,
13034,56000008,头盔,53577,21-23阶紫,1,1,6,
13035,56000008,头盔,53578,21-23阶紫,1,1,6,
13036,56000008,头盔,53579,21-23阶紫,1,1,6,
13037,56000008,头盔,53580,21-23阶紫,1,1,6,
13038,56000008,头盔,53581,21-23阶紫,1,1,6,
13039,56000008,头盔,53582,21-23阶紫,1,1,6,
13040,56000008,头盔,53583,21-23阶紫,1,1,6,
13041,56000008,项链,53584,21-23阶紫,1,1,6,
13042,56000008,项链,53585,21-23阶紫,1,1,6,
13043,56000008,项链,53586,21-23阶紫,1,1,6,
13044,56000008,项链,53587,21-23阶紫,1,1,6,
13045,56000008,项链,53588,21-23阶紫,1,1,6,
13046,56000008,项链,53589,21-23阶紫,1,1,6,
13047,56000008,项链,53590,21-23阶紫,1,1,6,
13048,56000008,项链,53591,21-23阶紫,1,1,6,
13049,56000008,项链,53592,21-23阶紫,1,1,6,
13050,56000008,项链,53593,21-23阶紫,1,1,6,
13051,56000008,项链,53594,21-23阶紫,1,1,6,
13052,56000008,项链,53595,21-23阶紫,1,1,6,
13053,56000008,鞋子,53596,21-23阶紫,1,1,36,
13054,56000008,鞋子,53597,21-23阶紫,1,1,36,
13055,56000008,胸甲,53598,21-23阶紫,1,1,18,
13056,56000008,胸甲,53599,21-23阶紫,1,1,18,
13057,56000008,胸甲,53600,21-23阶紫,1,1,18,
13058,56000008,胸甲,53601,21-23阶紫,1,1,18,
13059,56000008,锤子,53602,21-23阶紫,1,1,6,
13060,56000008,锤子,53603,21-23阶紫,1,1,6,
13061,56000008,锤子,53604,21-23阶紫,1,1,6,
13062,56000008,大剑,53605,21-23阶紫,1,1,6,
13063,56000008,大剑,53606,21-23阶紫,1,1,6,
13064,56000008,大剑,53607,21-23阶紫,1,1,6,
13065,56000008,短剑,53608,21-23阶紫,1,1,6,
13066,56000008,短剑,53609,21-23阶紫,1,1,6,
13067,56000008,短剑,53610,21-23阶紫,1,1,6,
13068,56000008,法杖,53611,21-23阶紫,1,1,6,
13069,56000008,法杖,53612,21-23阶紫,1,1,6,
13070,56000008,法杖,53613,21-23阶紫,1,1,6,
13071,56000008,斧子,53614,21-23阶紫,1,1,6,
13072,56000008,斧子,53615,21-23阶紫,1,1,6,
13073,56000008,斧子,53616,21-23阶紫,1,1,6,
13074,56000008,火把,53617,21-23阶紫,1,1,6,
13075,56000008,火把,53618,21-23阶紫,1,1,6,
13076,56000008,火把,53619,21-23阶紫,1,1,6,
13077,56000008,火把,53620,21-23阶紫,1,1,6,
13078,56000008,火把,53621,21-23阶紫,1,1,6,
13079,56000008,火把,53622,21-23阶紫,1,1,6,
13080,56000008,火把,53623,21-23阶紫,1,1,6,
13081,56000008,火把,53624,21-23阶紫,1,1,6,
13082,56000008,火把,53625,21-23阶紫,1,1,6,
13083,56000008,火把,53626,21-23阶紫,1,1,6,
13084,56000008,火把,53627,21-23阶紫,1,1,6,
13085,56000008,火把,53628,21-23阶紫,1,1,6,
13086,56000008,肩甲,53629,21-23阶紫,1,1,6,
13087,56000008,肩甲,53630,21-23阶紫,1,1,6,
13088,56000008,肩甲,53631,21-23阶紫,1,1,6,
13089,56000008,肩甲,53632,21-23阶紫,1,1,6,
13090,56000008,肩甲,53633,21-23阶紫,1,1,6,
13091,56000008,肩甲,53634,21-23阶紫,1,1,6,
13092,56000008,肩甲,53635,21-23阶紫,1,1,6,
13093,56000008,肩甲,53636,21-23阶紫,1,1,6,
13094,56000008,肩甲,53637,21-23阶紫,1,1,6,
13095,56000008,肩甲,53638,21-23阶紫,1,1,6,
13096,56000008,肩甲,53639,21-23阶紫,1,1,6,
13097,56000008,肩甲,53640,21-23阶紫,1,1,6,
13098,56000008,戒指,53641,21-23阶紫,1,1,12,
13099,56000008,戒指,53642,21-23阶紫,1,1,12,
13100,56000008,戒指,53643,21-23阶紫,1,1,12,
13101,56000008,戒指,53644,21-23阶紫,1,1,12,
13102,56000008,戒指,53645,21-23阶紫,1,1,12,
13103,56000008,戒指,53646,21-23阶紫,1,1,12,
13104,56000008,手腕,53647,21-23阶紫,1,1,24,
13105,56000008,手腕,53648,21-23阶紫,1,1,24,
13106,56000008,手腕,53649,21-23阶紫,1,1,24,
13107,56000008,头盔,53650,21-23阶紫,1,1,6,
13108,56000008,头盔,53651,21-23阶紫,1,1,6,
13109,56000008,头盔,53652,21-23阶紫,1,1,6,
13110,56000008,头盔,53653,21-23阶紫,1,1,6,
13111,56000008,头盔,53654,21-23阶紫,1,1,6,
13112,56000008,头盔,53655,21-23阶紫,1,1,6,
13113,56000008,头盔,53656,21-23阶紫,1,1,6,
13114,56000008,头盔,53657,21-23阶紫,1,1,6,
13115,56000008,头盔,53658,21-23阶紫,1,1,6,
13116,56000008,头盔,53659,21-23阶紫,1,1,6,
13117,56000008,头盔,53660,21-23阶紫,1,1,6,
13118,56000008,头盔,53661,21-23阶紫,1,1,6,
13119,56000008,项链,53662,21-23阶紫,1,1,6,
13120,56000008,项链,53663,21-23阶紫,1,1,6,
13121,56000008,项链,53664,21-23阶紫,1,1,6,
13122,56000008,项链,53665,21-23阶紫,1,1,6,
13123,56000008,项链,53666,21-23阶紫,1,1,6,
13124,56000008,项链,53667,21-23阶紫,1,1,6,
13125,56000008,项链,53668,21-23阶紫,1,1,6,
13126,56000008,项链,53669,21-23阶紫,1,1,6,
13127,56000008,项链,53670,21-23阶紫,1,1,6,
13128,56000008,项链,53671,21-23阶紫,1,1,6,
13129,56000008,项链,53672,21-23阶紫,1,1,6,
13130,56000008,项链,53673,21-23阶紫,1,1,6,
13131,56000008,鞋子,53674,21-23阶紫,1,1,36,
13132,56000008,鞋子,53675,21-23阶紫,1,1,36,
13133,56000008,胸甲,53676,21-23阶紫,1,1,18,
13134,56000008,胸甲,53677,21-23阶紫,1,1,18,
13135,56000008,胸甲,53678,21-23阶紫,1,1,18,
13136,56000008,胸甲,53679,21-23阶紫,1,1,18,
13137,56000008,锤子,53680,21-23阶紫,1,1,6,
13138,56000008,锤子,53681,21-23阶紫,1,1,6,
13139,56000008,锤子,53682,21-23阶紫,1,1,6,
13140,56000008,大剑,53683,21-23阶紫,1,1,6,
13141,56000008,大剑,53684,21-23阶紫,1,1,6,
13142,56000008,大剑,53685,21-23阶紫,1,1,6,
13143,56000008,短剑,53686,21-23阶紫,1,1,6,
13144,56000008,短剑,53687,21-23阶紫,1,1,6,
13145,56000008,短剑,53688,21-23阶紫,1,1,6,
13146,56000008,法杖,53689,21-23阶紫,1,1,6,
13147,56000008,法杖,53690,21-23阶紫,1,1,6,
13148,56000008,法杖,53691,21-23阶紫,1,1,6,
13149,56000008,斧子,53692,21-23阶紫,1,1,6,
13150,56000008,斧子,53693,21-23阶紫,1,1,6,
13151,56000008,斧子,53694,21-23阶紫,1,1,6,
13152,56000008,火把,53695,21-23阶紫,1,1,6,
13153,56000008,火把,53696,21-23阶紫,1,1,6,
13154,56000008,火把,53697,21-23阶紫,1,1,6,
13155,56000008,火把,53698,21-23阶紫,1,1,6,
13156,56000008,火把,53699,21-23阶紫,1,1,6,
13157,56000008,火把,53700,21-23阶紫,1,1,6,
13158,56000008,火把,53701,21-23阶紫,1,1,6,
13159,56000008,火把,53702,21-23阶紫,1,1,6,
13160,56000008,火把,53703,21-23阶紫,1,1,6,
13161,56000008,火把,53704,21-23阶紫,1,1,6,
13162,56000008,火把,53705,21-23阶紫,1,1,6,
13163,56000008,火把,53706,21-23阶紫,1,1,6,
13164,56000008,肩甲,53707,21-23阶紫,1,1,6,
13165,56000008,肩甲,53708,21-23阶紫,1,1,6,
13166,56000008,肩甲,53709,21-23阶紫,1,1,6,
13167,56000008,肩甲,53710,21-23阶紫,1,1,6,
13168,56000008,肩甲,53711,21-23阶紫,1,1,6,
13169,56000008,肩甲,53712,21-23阶紫,1,1,6,
13170,56000008,肩甲,53713,21-23阶紫,1,1,6,
13171,56000008,肩甲,53714,21-23阶紫,1,1,6,
13172,56000008,肩甲,53715,21-23阶紫,1,1,6,
13173,56000008,肩甲,53716,21-23阶紫,1,1,6,
13174,56000008,肩甲,53717,21-23阶紫,1,1,6,
13175,56000008,肩甲,53718,21-23阶紫,1,1,6,
13176,56000008,戒指,53719,21-23阶紫,1,1,12,
13177,56000008,戒指,53720,21-23阶紫,1,1,12,
13178,56000008,戒指,53721,21-23阶紫,1,1,12,
13179,56000008,戒指,53722,21-23阶紫,1,1,12,
13180,56000008,戒指,53723,21-23阶紫,1,1,12,
13181,56000008,戒指,53724,21-23阶紫,1,1,12,
13182,56000008,手腕,53725,21-23阶紫,1,1,24,
13183,56000008,手腕,53726,21-23阶紫,1,1,24,
13184,56000008,手腕,53727,21-23阶紫,1,1,24,
13185,56000008,头盔,53728,21-23阶紫,1,1,6,
13186,56000008,头盔,53729,21-23阶紫,1,1,6,
13187,56000008,头盔,53730,21-23阶紫,1,1,6,
13188,56000008,头盔,53731,21-23阶紫,1,1,6,
13189,56000008,头盔,53732,21-23阶紫,1,1,6,
13190,56000008,头盔,53733,21-23阶紫,1,1,6,
13191,56000008,头盔,53734,21-23阶紫,1,1,6,
13192,56000008,头盔,53735,21-23阶紫,1,1,6,
13193,56000008,头盔,53736,21-23阶紫,1,1,6,
13194,56000008,头盔,53737,21-23阶紫,1,1,6,
13195,56000008,头盔,53738,21-23阶紫,1,1,6,
13196,56000008,头盔,53739,21-23阶紫,1,1,6,
13197,56000008,项链,53740,21-23阶紫,1,1,6,
13198,56000008,项链,53741,21-23阶紫,1,1,6,
13199,56000008,项链,53742,21-23阶紫,1,1,6,
13200,56000008,项链,53743,21-23阶紫,1,1,6,
13201,56000008,项链,53744,21-23阶紫,1,1,6,
13202,56000008,项链,53745,21-23阶紫,1,1,6,
13203,56000008,项链,53746,21-23阶紫,1,1,6,
13204,56000008,项链,53747,21-23阶紫,1,1,6,
13205,56000008,项链,53748,21-23阶紫,1,1,6,
13206,56000008,项链,53749,21-23阶紫,1,1,6,
13207,56000008,项链,53750,21-23阶紫,1,1,6,
13208,56000008,项链,53751,21-23阶紫,1,1,6,
13209,56000008,鞋子,53752,21-23阶紫,1,1,36,
13210,56000008,鞋子,53753,21-23阶紫,1,1,36,
13211,56000008,胸甲,53754,21-23阶紫,1,1,18,
13212,56000008,胸甲,53755,21-23阶紫,1,1,18,
13213,56000008,胸甲,53756,21-23阶紫,1,1,18,
13214,56000008,胸甲,53757,21-23阶紫,1,1,18,
13215,56000009,胸甲,43742,24-25阶,1,1,95,
13216,56000009,胸甲,43743,24-25阶,1,1,91,
13217,56000009,胸甲,43744,24-25阶,1,1,91,
13218,56000009,胸甲,43745,24-25阶,1,1,91,
13219,56000009,鞋子,43746,24-25阶,1,1,91,
13220,56000009,鞋子,43747,24-25阶,1,1,91,
13221,56000009,鞋子,43748,24-25阶,1,1,91,
13222,56000009,鞋子,43749,24-25阶,1,1,91,
13223,56000009,项链,43750,24-25阶,1,1,48,
13224,56000009,项链,43751,24-25阶,1,1,48,
13225,56000009,项链,43752,24-25阶,1,1,48,
13226,56000009,项链,43753,24-25阶,1,1,48,
13227,56000009,项链,43754,24-25阶,1,1,48,
13228,56000009,项链,43755,24-25阶,1,1,48,
13229,56000009,项链,43756,24-25阶,1,1,48,
13230,56000009,项链,43757,24-25阶,1,1,48,
13231,56000009,项链,43758,24-25阶,1,1,48,
13232,56000009,项链,43759,24-25阶,1,1,48,
13233,56000009,项链,43760,24-25阶,1,1,48,
13234,56000009,项链,43761,24-25阶,1,1,48,
13235,56000009,项链,43762,24-25阶,1,1,48,
13236,56000009,项链,43763,24-25阶,1,1,48,
13237,56000009,项链,43764,24-25阶,1,1,48,
13238,56000009,头盔,43765,24-25阶,1,1,30,
13239,56000009,头盔,43766,24-25阶,1,1,30,
13240,56000009,头盔,43767,24-25阶,1,1,30,
13241,56000009,头盔,43768,24-25阶,1,1,30,
13242,56000009,头盔,43769,24-25阶,1,1,30,
13243,56000009,头盔,43770,24-25阶,1,1,30,
13244,56000009,头盔,43771,24-25阶,1,1,30,
13245,56000009,头盔,43772,24-25阶,1,1,30,
13246,56000009,头盔,43773,24-25阶,1,1,30,
13247,56000009,头盔,43774,24-25阶,1,1,30,
13248,56000009,头盔,43775,24-25阶,1,1,30,
13249,56000009,头盔,43776,24-25阶,1,1,30,
13250,56000009,手腕,43777,24-25阶,1,1,40,
13251,56000009,手腕,43778,24-25阶,1,1,40,
13252,56000009,手腕,43779,24-25阶,1,1,40,
13253,56000009,手腕,43780,24-25阶,1,1,40,
13254,56000009,手腕,43781,24-25阶,1,1,40,
13255,56000009,手腕,43782,24-25阶,1,1,40,
13256,56000009,手腕,43783,24-25阶,1,1,40,
13257,56000009,手腕,43784,24-25阶,1,1,40,
13258,56000009,手腕,43785,24-25阶,1,1,40,
13259,56000009,戒指,43786,24-25阶,1,1,30,
13260,56000009,戒指,43787,24-25阶,1,1,30,
13261,56000009,戒指,43788,24-25阶,1,1,30,
13262,56000009,戒指,43789,24-25阶,1,1,30,
13263,56000009,戒指,43790,24-25阶,1,1,30,
13264,56000009,戒指,43791,24-25阶,1,1,30,
13265,56000009,戒指,43792,24-25阶,1,1,30,
13266,56000009,戒指,43793,24-25阶,1,1,30,
13267,56000009,戒指,43794,24-25阶,1,1,30,
13268,56000009,戒指,43795,24-25阶,1,1,30,
13269,56000009,戒指,43796,24-25阶,1,1,30,
13270,56000009,戒指,43797,24-25阶,1,1,30,
13271,56000009,肩甲,43798,24-25阶,1,1,24,
13272,56000009,肩甲,43799,24-25阶,1,1,24,
13273,56000009,肩甲,43800,24-25阶,1,1,24,
13274,56000009,肩甲,43801,24-25阶,1,1,24,
13275,56000009,肩甲,43802,24-25阶,1,1,24,
13276,56000009,肩甲,43803,24-25阶,1,1,24,
13277,56000009,肩甲,43804,24-25阶,1,1,24,
13278,56000009,肩甲,43805,24-25阶,1,1,24,
13279,56000009,肩甲,43806,24-25阶,1,1,24,
13280,56000009,肩甲,43807,24-25阶,1,1,24,
13281,56000009,肩甲,43808,24-25阶,1,1,24,
13282,56000009,肩甲,43809,24-25阶,1,1,24,
13283,56000009,肩甲,43810,24-25阶,1,1,24,
13284,56000009,肩甲,43811,24-25阶,1,1,24,
13285,56000009,肩甲,43812,24-25阶,1,1,24,
13286,56000009,火把,43813,24-25阶,1,1,24,
13287,56000009,火把,43814,24-25阶,1,1,24,
13288,56000009,火把,43815,24-25阶,1,1,24,
13289,56000009,火把,43816,24-25阶,1,1,24,
13290,56000009,火把,43817,24-25阶,1,1,24,
13291,56000009,火把,43818,24-25阶,1,1,24,
13292,56000009,火把,43819,24-25阶,1,1,24,
13293,56000009,火把,43820,24-25阶,1,1,24,
13294,56000009,火把,43821,24-25阶,1,1,24,
13295,56000009,火把,43822,24-25阶,1,1,24,
13296,56000009,火把,43823,24-25阶,1,1,24,
13297,56000009,火把,43824,24-25阶,1,1,24,
13298,56000009,火把,43825,24-25阶,1,1,24,
13299,56000009,火把,43826,24-25阶,1,1,24,
13300,56000009,火把,43827,24-25阶,1,1,24,
13301,56000009,斧子,43828,24-25阶,1,1,10,
13302,56000009,斧子,43829,24-25阶,1,1,10,
13303,56000009,斧子,43830,24-25阶,1,1,10,
13304,56000009,斧子,43831,24-25阶,1,1,10,
13305,56000009,斧子,43832,24-25阶,1,1,10,
13306,56000009,斧子,43833,24-25阶,1,1,10,
13307,56000009,斧子,43834,24-25阶,1,1,10,
13308,56000009,斧子,43835,24-25阶,1,1,10,
13309,56000009,斧子,43836,24-25阶,1,1,10,
13310,56000009,斧子,43837,24-25阶,1,1,10,
13311,56000009,斧子,43838,24-25阶,1,1,10,
13312,56000009,斧子,43839,24-25阶,1,1,10,
13313,56000009,斧子,43840,24-25阶,1,1,10,
13314,56000009,斧子,43841,24-25阶,1,1,10,
13315,56000009,斧子,43842,24-25阶,1,1,10,
13316,56000009,法杖,43843,24-25阶,1,1,10,
13317,56000009,法杖,43844,24-25阶,1,1,10,
13318,56000009,法杖,43845,24-25阶,1,1,10,
13319,56000009,法杖,43846,24-25阶,1,1,10,
13320,56000009,法杖,43847,24-25阶,1,1,10,
13321,56000009,法杖,43848,24-25阶,1,1,10,
13322,56000009,法杖,43849,24-25阶,1,1,10,
13323,56000009,法杖,43850,24-25阶,1,1,10,
13324,56000009,法杖,43851,24-25阶,1,1,10,
13325,56000009,法杖,43852,24-25阶,1,1,10,
13326,56000009,法杖,43853,24-25阶,1,1,10,
13327,56000009,法杖,43854,24-25阶,1,1,10,
13328,56000009,法杖,43855,24-25阶,1,1,10,
13329,56000009,法杖,43856,24-25阶,1,1,10,
13330,56000009,法杖,43857,24-25阶,1,1,10,
13331,56000009,短剑,43858,24-25阶,1,1,10,
13332,56000009,短剑,43859,24-25阶,1,1,10,
13333,56000009,短剑,43860,24-25阶,1,1,10,
13334,56000009,短剑,43861,24-25阶,1,1,10,
13335,56000009,短剑,43862,24-25阶,1,1,10,
13336,56000009,短剑,43863,24-25阶,1,1,10,
13337,56000009,短剑,43864,24-25阶,1,1,10,
13338,56000009,短剑,43865,24-25阶,1,1,10,
13339,56000009,短剑,43866,24-25阶,1,1,10,
13340,56000009,短剑,43867,24-25阶,1,1,10,
13341,56000009,短剑,43868,24-25阶,1,1,10,
13342,56000009,短剑,43869,24-25阶,1,1,10,
13343,56000009,短剑,43870,24-25阶,1,1,10,
13344,56000009,短剑,43871,24-25阶,1,1,10,
13345,56000009,短剑,43872,24-25阶,1,1,10,
13346,56000009,大剑,43873,24-25阶,1,1,10,
13347,56000009,大剑,43874,24-25阶,1,1,10,
13348,56000009,大剑,43875,24-25阶,1,1,10,
13349,56000009,大剑,43876,24-25阶,1,1,10,
13350,56000009,大剑,43877,24-25阶,1,1,10,
13351,56000009,大剑,43878,24-25阶,1,1,10,
13352,56000009,大剑,43879,24-25阶,1,1,10,
13353,56000009,大剑,43880,24-25阶,1,1,10,
13354,56000009,大剑,43881,24-25阶,1,1,10,
13355,56000009,大剑,43882,24-25阶,1,1,10,
13356,56000009,大剑,43883,24-25阶,1,1,10,
13357,56000009,大剑,43884,24-25阶,1,1,10,
13358,56000009,大剑,43885,24-25阶,1,1,10,
13359,56000009,大剑,43886,24-25阶,1,1,10,
13360,56000009,大剑,43887,24-25阶,1,1,10,
13361,56000009,锤子,43888,24-25阶,1,1,10,
13362,56000009,锤子,43889,24-25阶,1,1,10,
13363,56000009,锤子,43890,24-25阶,1,1,10,
13364,56000009,锤子,43891,24-25阶,1,1,10,
13365,56000009,锤子,43892,24-25阶,1,1,10,
13366,56000009,锤子,43893,24-25阶,1,1,10,
13367,56000009,锤子,43894,24-25阶,1,1,10,
13368,56000009,锤子,43895,24-25阶,1,1,10,
13369,56000009,锤子,43896,24-25阶,1,1,10,
13370,56000009,锤子,43897,24-25阶,1,1,10,
13371,56000009,锤子,43898,24-25阶,1,1,10,
13372,56000009,锤子,43899,24-25阶,1,1,10,
13373,56000009,锤子,43900,24-25阶,1,1,10,
13374,56000009,锤子,43901,24-25阶,1,1,10,
13375,56000009,锤子,43902,24-25阶,1,1,10,
13376,56000009,胸甲,43903,24-25阶,1,1,91,
13377,56000009,胸甲,43904,24-25阶,1,1,91,
13378,56000009,胸甲,43905,24-25阶,1,1,91,
13379,56000009,胸甲,43906,24-25阶,1,1,91,
13380,56000009,鞋子,43907,24-25阶,1,1,91,
13381,56000009,鞋子,43908,24-25阶,1,1,91,
13382,56000009,鞋子,43909,24-25阶,1,1,91,
13383,56000009,鞋子,43910,24-25阶,1,1,91,
13384,56000009,项链,43911,24-25阶,1,1,48,
13385,56000009,项链,43912,24-25阶,1,1,48,
13386,56000009,项链,43913,24-25阶,1,1,48,
13387,56000009,项链,43914,24-25阶,1,1,48,
13388,56000009,项链,43915,24-25阶,1,1,48,
13389,56000009,项链,43916,24-25阶,1,1,48,
13390,56000009,项链,43917,24-25阶,1,1,48,
13391,56000009,项链,43918,24-25阶,1,1,48,
13392,56000009,项链,43919,24-25阶,1,1,48,
13393,56000009,项链,43920,24-25阶,1,1,48,
13394,56000009,项链,43921,24-25阶,1,1,48,
13395,56000009,项链,43922,24-25阶,1,1,48,
13396,56000009,项链,43923,24-25阶,1,1,48,
13397,56000009,项链,43924,24-25阶,1,1,48,
13398,56000009,项链,43925,24-25阶,1,1,48,
13399,56000009,头盔,43926,24-25阶,1,1,30,
13400,56000009,头盔,43927,24-25阶,1,1,30,
13401,56000009,头盔,43928,24-25阶,1,1,30,
13402,56000009,头盔,43929,24-25阶,1,1,30,
13403,56000009,头盔,43930,24-25阶,1,1,30,
13404,56000009,头盔,43931,24-25阶,1,1,30,
13405,56000009,头盔,43932,24-25阶,1,1,30,
13406,56000009,头盔,43933,24-25阶,1,1,30,
13407,56000009,头盔,43934,24-25阶,1,1,30,
13408,56000009,头盔,43935,24-25阶,1,1,30,
13409,56000009,头盔,43936,24-25阶,1,1,30,
13410,56000009,头盔,43937,24-25阶,1,1,30,
13411,56000009,手腕,43938,24-25阶,1,1,40,
13412,56000009,手腕,43939,24-25阶,1,1,40,
13413,56000009,手腕,43940,24-25阶,1,1,40,
13414,56000009,手腕,43941,24-25阶,1,1,40,
13415,56000009,手腕,43942,24-25阶,1,1,40,
13416,56000009,手腕,43943,24-25阶,1,1,40,
13417,56000009,手腕,43944,24-25阶,1,1,40,
13418,56000009,手腕,43945,24-25阶,1,1,40,
13419,56000009,手腕,43946,24-25阶,1,1,40,
13420,56000009,戒指,43947,24-25阶,1,1,30,
13421,56000009,戒指,43948,24-25阶,1,1,30,
13422,56000009,戒指,43949,24-25阶,1,1,30,
13423,56000009,戒指,43950,24-25阶,1,1,30,
13424,56000009,戒指,43951,24-25阶,1,1,30,
13425,56000009,戒指,43952,24-25阶,1,1,30,
13426,56000009,戒指,43953,24-25阶,1,1,30,
13427,56000009,戒指,43954,24-25阶,1,1,30,
13428,56000009,戒指,43955,24-25阶,1,1,30,
13429,56000009,戒指,43956,24-25阶,1,1,30,
13430,56000009,戒指,43957,24-25阶,1,1,30,
13431,56000009,戒指,43958,24-25阶,1,1,30,
13432,56000009,肩甲,43959,24-25阶,1,1,24,
13433,56000009,肩甲,43960,24-25阶,1,1,24,
13434,56000009,肩甲,43961,24-25阶,1,1,24,
13435,56000009,肩甲,43962,24-25阶,1,1,24,
13436,56000009,肩甲,43963,24-25阶,1,1,24,
13437,56000009,肩甲,43964,24-25阶,1,1,24,
13438,56000009,肩甲,43965,24-25阶,1,1,24,
13439,56000009,肩甲,43966,24-25阶,1,1,24,
13440,56000009,肩甲,43967,24-25阶,1,1,24,
13441,56000009,肩甲,43968,24-25阶,1,1,24,
13442,56000009,肩甲,43969,24-25阶,1,1,24,
13443,56000009,肩甲,43970,24-25阶,1,1,24,
13444,56000009,肩甲,43971,24-25阶,1,1,24,
13445,56000009,肩甲,43972,24-25阶,1,1,24,
13446,56000009,肩甲,43973,24-25阶,1,1,24,
13447,56000009,火把,43974,24-25阶,1,1,24,
13448,56000009,火把,43975,24-25阶,1,1,24,
13449,56000009,火把,43976,24-25阶,1,1,24,
13450,56000009,火把,43977,24-25阶,1,1,24,
13451,56000009,火把,43978,24-25阶,1,1,24,
13452,56000009,火把,43979,24-25阶,1,1,24,
13453,56000009,火把,43980,24-25阶,1,1,24,
13454,56000009,火把,43981,24-25阶,1,1,24,
13455,56000009,火把,43982,24-25阶,1,1,24,
13456,56000009,火把,43983,24-25阶,1,1,24,
13457,56000009,火把,43984,24-25阶,1,1,24,
13458,56000009,火把,43985,24-25阶,1,1,24,
13459,56000009,火把,43986,24-25阶,1,1,24,
13460,56000009,火把,43987,24-25阶,1,1,24,
13461,56000009,火把,43988,24-25阶,1,1,24,
13462,56000009,斧子,43989,24-25阶,1,1,10,
13463,56000009,斧子,43990,24-25阶,1,1,10,
13464,56000009,斧子,43991,24-25阶,1,1,10,
13465,56000009,斧子,43992,24-25阶,1,1,10,
13466,56000009,斧子,43993,24-25阶,1,1,10,
13467,56000009,斧子,43994,24-25阶,1,1,10,
13468,56000009,斧子,43995,24-25阶,1,1,10,
13469,56000009,斧子,43996,24-25阶,1,1,10,
13470,56000009,斧子,43997,24-25阶,1,1,10,
13471,56000009,斧子,43998,24-25阶,1,1,10,
13472,56000009,斧子,43999,24-25阶,1,1,10,
13473,56000009,斧子,44000,24-25阶,1,1,10,
13474,56000009,斧子,44001,24-25阶,1,1,10,
13475,56000009,斧子,44002,24-25阶,1,1,10,
13476,56000009,斧子,44003,24-25阶,1,1,10,
13477,56000009,法杖,44004,24-25阶,1,1,10,
13478,56000009,法杖,44005,24-25阶,1,1,10,
13479,56000009,法杖,44006,24-25阶,1,1,10,
13480,56000009,法杖,44007,24-25阶,1,1,10,
13481,56000009,法杖,44008,24-25阶,1,1,10,
13482,56000009,法杖,44009,24-25阶,1,1,10,
13483,56000009,法杖,44010,24-25阶,1,1,10,
13484,56000009,法杖,44011,24-25阶,1,1,10,
13485,56000009,法杖,44012,24-25阶,1,1,10,
13486,56000009,法杖,44013,24-25阶,1,1,10,
13487,56000009,法杖,44014,24-25阶,1,1,10,
13488,56000009,法杖,44015,24-25阶,1,1,10,
13489,56000009,法杖,44016,24-25阶,1,1,10,
13490,56000009,法杖,44017,24-25阶,1,1,10,
13491,56000009,法杖,44018,24-25阶,1,1,10,
13492,56000009,短剑,44019,24-25阶,1,1,10,
13493,56000009,短剑,44020,24-25阶,1,1,10,
13494,56000009,短剑,44021,24-25阶,1,1,10,
13495,56000009,短剑,44022,24-25阶,1,1,10,
13496,56000009,短剑,44023,24-25阶,1,1,10,
13497,56000009,短剑,44024,24-25阶,1,1,10,
13498,56000009,短剑,44025,24-25阶,1,1,10,
13499,56000009,短剑,44026,24-25阶,1,1,10,
13500,56000009,短剑,44027,24-25阶,1,1,10,
13501,56000009,短剑,44028,24-25阶,1,1,10,
13502,56000009,短剑,44029,24-25阶,1,1,10,
13503,56000009,短剑,44030,24-25阶,1,1,10,
13504,56000009,短剑,44031,24-25阶,1,1,10,
13505,56000009,短剑,44032,24-25阶,1,1,10,
13506,56000009,短剑,44033,24-25阶,1,1,10,
13507,56000009,大剑,44034,24-25阶,1,1,10,
13508,56000009,大剑,44035,24-25阶,1,1,10,
13509,56000009,大剑,44036,24-25阶,1,1,10,
13510,56000009,大剑,44037,24-25阶,1,1,10,
13511,56000009,大剑,44038,24-25阶,1,1,10,
13512,56000009,大剑,44039,24-25阶,1,1,10,
13513,56000009,大剑,44040,24-25阶,1,1,10,
13514,56000009,大剑,44041,24-25阶,1,1,10,
13515,56000009,大剑,44042,24-25阶,1,1,10,
13516,56000009,大剑,44043,24-25阶,1,1,10,
13517,56000009,大剑,44044,24-25阶,1,1,10,
13518,56000009,大剑,44045,24-25阶,1,1,10,
13519,56000009,大剑,44046,24-25阶,1,1,10,
13520,56000009,大剑,44047,24-25阶,1,1,10,
13521,56000009,大剑,44048,24-25阶,1,1,10,
13522,56000009,锤子,44049,24-25阶,1,1,10,
13523,56000009,锤子,44050,24-25阶,1,1,10,
13524,56000009,锤子,44051,24-25阶,1,1,10,
13525,56000009,锤子,44052,24-25阶,1,1,10,
13526,56000009,锤子,44053,24-25阶,1,1,10,
13527,56000009,锤子,44054,24-25阶,1,1,10,
