ID,装备等级,装备类型,职业需求,装备评分,使用部位,能否带回城镇,套装,强化上限,属性1,属性1增加值,属性2,属性2增加值,属性3,属性3增加值,属性4,属性4增加值,属性5,属性5增加值,属性6,属性6增加值,属性7,属性7增加值,属性8,属性8增加值,额外增加攻击速度,背面插槽,背面贴图,侧面插槽,侧面贴图,正面插槽,正面贴图
48305,18,2,0,630,3,0,0,0,6,7,5,26,18,14,0,9,11,12,16,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48306,18,2,0,630,3,0,0,0,6,7,5,26,15,14,0,9,11,12,14,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48307,18,2,0,630,3,0,0,0,6,7,5,26,17,14,0,9,11,12,14,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48308,18,2,0,630,3,0,0,0,6,7,5,26,18,14,0,9,11,12,14,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48309,18,2,0,630,3,0,0,0,6,7,5,26,15,14,0,9,9,12,16,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48310,18,2,0,630,3,0,0,0,6,7,5,26,17,14,0,9,9,12,16,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48311,18,2,0,630,3,0,0,0,6,7,5,26,18,14,0,9,9,12,16,8,0,3,0,0.09,0,scapula_left|scapula_right,T7_b_scapula_left|T7_b_scapula_right,scapula_left|scapula_right,T7_s_scapula_left|T7_s_scapula_right,scapula_right|scapula_left,T7_f_scapula_right|T7_f_scapula_left
48312,18,2,0,2093,9,0,0,0,24,683,10,7,25,7,24,664,9,4,0,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48313,18,2,0,2093,9,0,0,0,24,683,12,7,25,7,24,664,9,4,0,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48314,18,2,0,2093,9,0,0,0,24,683,13,7,25,7,24,664,9,4,0,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48315,18,2,0,2078,9,0,0,0,24,683,10,7,25,7,24,664,0,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48316,18,2,0,2078,9,0,0,0,24,683,12,7,25,7,24,664,0,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48317,18,2,0,2078,9,0,0,0,24,683,13,7,25,7,24,664,0,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48318,18,2,0,1063,9,0,0,0,24,683,10,7,25,7,0,664,9,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48319,18,2,0,1063,9,0,0,0,24,683,12,7,25,7,0,664,9,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48320,18,2,0,1063,9,0,0,0,24,683,13,7,25,7,0,664,9,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48321,18,2,0,2093,9,0,0,0,24,683,10,7,25,7,24,664,11,4,0,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48322,18,2,0,2093,9,0,0,0,24,683,12,7,25,7,24,664,11,4,0,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48323,18,2,0,2093,9,0,0,0,24,683,13,7,25,7,24,664,11,4,0,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48324,18,2,0,2078,9,0,0,0,24,683,10,7,25,7,24,664,0,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48325,18,2,0,2078,9,0,0,0,24,683,12,7,25,7,24,664,0,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48326,18,2,0,2078,9,0,0,0,24,683,13,7,25,7,24,664,0,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48327,18,2,0,1063,9,0,0,0,24,683,10,7,25,7,0,664,11,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48328,18,2,0,1063,9,0,0,0,24,683,12,7,25,7,0,664,11,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48329,18,2,0,1063,9,0,0,0,24,683,13,7,25,7,0,664,11,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48330,18,2,0,1063,9,0,0,0,24,683,10,7,25,7,0,664,11,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48331,18,2,0,1063,9,0,0,0,24,683,12,7,25,7,0,664,11,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48332,18,2,0,1063,9,0,0,0,24,683,13,7,25,7,0,664,11,4,14,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48333,18,2,0,1063,9,0,0,0,24,683,10,7,25,7,0,664,9,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48334,18,2,0,1063,9,0,0,0,24,683,12,7,25,7,0,664,9,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48335,18,2,0,1063,9,0,0,0,24,683,13,7,25,7,0,664,9,4,16,3,0,18,0,6,0,fire|word,T5_b_fire|T5_b_word,fire|word,T5_s_fire|T5_s_word,fire|word,T5_f_fire|T5_f_word
48336,18,1,0,4514,6,0,0,0,2,85,1,319,10,39,1,153,9,16,0,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48337,18,1,0,4514,6,0,0,0,2,85,1,319,12,39,1,153,9,16,0,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48338,18,1,0,4514,6,0,0,0,2,85,1,319,13,39,1,153,9,16,0,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48339,18,1,0,4424,6,0,0,0,2,85,1,319,10,39,1,153,0,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48340,18,1,0,4424,6,0,0,0,2,85,1,319,12,39,1,153,0,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48341,18,1,0,4424,6,0,0,0,2,85,1,319,13,39,1,153,0,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48342,18,1,0,3848,6,0,0,0,2,85,1,319,10,39,0,153,9,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48343,18,1,0,3848,6,0,0,0,2,85,1,319,12,39,0,153,9,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48344,18,1,0,3848,6,0,0,0,2,85,1,319,13,39,0,153,9,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48345,18,1,0,4514,6,0,0,0,2,85,1,319,10,39,1,153,11,16,0,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48346,18,1,0,4514,6,0,0,0,2,85,1,319,12,39,1,153,11,16,0,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48347,18,1,0,4514,6,0,0,0,2,85,1,319,13,39,1,153,11,16,0,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48348,18,1,0,4424,6,0,0,0,2,85,1,319,10,39,1,153,0,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48349,18,1,0,4424,6,0,0,0,2,85,1,319,12,39,1,153,0,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48350,18,1,0,4424,6,0,0,0,2,85,1,319,13,39,1,153,0,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48351,18,1,0,3848,6,0,0,0,2,85,1,319,10,39,0,153,11,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48352,18,1,0,3848,6,0,0,0,2,85,1,319,12,39,0,153,11,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48353,18,1,0,3848,6,0,0,0,2,85,1,319,13,39,0,153,11,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48354,18,1,0,3848,6,0,0,0,2,85,1,319,10,39,0,153,11,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48355,18,1,0,3848,6,0,0,0,2,85,1,319,12,39,0,153,11,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48356,18,1,0,3848,6,0,0,0,2,85,1,319,13,39,0,153,11,16,14,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48357,18,1,0,3848,6,0,0,0,2,85,1,319,10,39,0,153,9,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48358,18,1,0,3848,6,0,0,0,2,85,1,319,12,39,0,153,9,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48359,18,1,0,3848,6,0,0,0,2,85,1,319,13,39,0,153,9,16,16,6,0,0.07,0,0.14,0,sword01,T6_b_sword02,sword01,T6_s_sword02,sword01,T6_f_sword02
48360,18,1,0,3049,6,0,0,0,2,66,1,263,10,59,1,153,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48361,18,1,0,3049,6,0,0,0,2,66,1,263,12,59,1,153,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48362,18,1,0,3049,6,0,0,0,2,66,1,263,13,59,1,153,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48363,18,1,0,2959,6,0,0,0,2,66,1,263,10,59,1,153,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48364,18,1,0,2959,6,0,0,0,2,66,1,263,12,59,1,153,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48365,18,1,0,2959,6,0,0,0,2,66,1,263,13,59,1,153,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48366,18,1,0,2383,6,0,0,0,2,66,1,263,10,59,0,153,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48367,18,1,0,2383,6,0,0,0,2,66,1,263,12,59,0,153,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48368,18,1,0,2383,6,0,0,0,2,66,1,263,13,59,0,153,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48369,18,1,0,3049,6,0,0,0,2,66,1,263,10,59,1,153,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48370,18,1,0,3049,6,0,0,0,2,66,1,263,12,59,1,153,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48371,18,1,0,3049,6,0,0,0,2,66,1,263,13,59,1,153,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48372,18,1,0,2959,6,0,0,0,2,66,1,263,10,59,1,153,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48373,18,1,0,2959,6,0,0,0,2,66,1,263,12,59,1,153,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48374,18,1,0,2959,6,0,0,0,2,66,1,263,13,59,1,153,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48375,18,1,0,2383,6,0,0,0,2,66,1,263,10,59,0,153,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48376,18,1,0,2383,6,0,0,0,2,66,1,263,12,59,0,153,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48377,18,1,0,2383,6,0,0,0,2,66,1,263,13,59,0,153,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48378,18,1,0,2383,6,0,0,0,2,66,1,263,10,59,0,153,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48379,18,1,0,2383,6,0,0,0,2,66,1,263,12,59,0,153,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48380,18,1,0,2383,6,0,0,0,2,66,1,263,13,59,0,153,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48381,18,1,0,2383,6,0,0,0,2,66,1,263,10,59,0,153,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48382,18,1,0,2383,6,0,0,0,2,66,1,263,12,59,0,153,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48383,18,1,0,2383,6,0,0,0,2,66,1,263,13,59,0,153,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword04,sword01,T5_s_sword04,sword01,T5_f_sword04
48384,18,1,0,2897,6,0,0,0,2,66,1,123,10,39,1,215,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48385,18,1,0,2897,6,0,0,0,2,66,1,123,12,39,1,215,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48386,18,1,0,2897,6,0,0,0,2,66,1,123,13,39,1,215,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48387,18,1,0,2807,6,0,0,0,2,66,1,123,10,39,1,215,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48388,18,1,0,2807,6,0,0,0,2,66,1,123,12,39,1,215,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48389,18,1,0,2807,6,0,0,0,2,66,1,123,13,39,1,215,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48390,18,1,0,1943,6,0,0,0,2,66,1,123,10,39,0,215,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48391,18,1,0,1943,6,0,0,0,2,66,1,123,12,39,0,215,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48392,18,1,0,1943,6,0,0,0,2,66,1,123,13,39,0,215,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48393,18,1,0,2897,6,0,0,0,2,66,1,123,10,39,1,215,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48394,18,1,0,2897,6,0,0,0,2,66,1,123,12,39,1,215,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48395,18,1,0,2897,6,0,0,0,2,66,1,123,13,39,1,215,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48396,18,1,0,2807,6,0,0,0,2,66,1,123,10,39,1,215,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48397,18,1,0,2807,6,0,0,0,2,66,1,123,12,39,1,215,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48398,18,1,0,2807,6,0,0,0,2,66,1,123,13,39,1,215,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48399,18,1,0,1943,6,0,0,0,2,66,1,123,10,39,0,215,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48400,18,1,0,1943,6,0,0,0,2,66,1,123,12,39,0,215,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48401,18,1,0,1943,6,0,0,0,2,66,1,123,13,39,0,215,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48402,18,1,0,1943,6,0,0,0,2,66,1,123,10,39,0,215,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48403,18,1,0,1943,6,0,0,0,2,66,1,123,12,39,0,215,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48404,18,1,0,1943,6,0,0,0,2,66,1,123,13,39,0,215,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48405,18,1,0,1943,6,0,0,0,2,66,1,123,10,39,0,215,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48406,18,1,0,1943,6,0,0,0,2,66,1,123,12,39,0,215,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48407,18,1,0,1943,6,0,0,0,2,66,1,123,13,39,0,215,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword05,sword01,T5_s_sword05,sword01,T5_f_sword05
48408,18,1,0,3469,6,0,0,0,2,94,1,175,10,39,1,153,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48409,18,1,0,3469,6,0,0,0,2,94,1,175,12,39,1,153,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48410,18,1,0,3469,6,0,0,0,2,94,1,175,13,39,1,153,9,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48411,18,1,0,3379,6,0,0,0,2,94,1,175,10,39,1,153,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48412,18,1,0,3379,6,0,0,0,2,94,1,175,12,39,1,153,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48413,18,1,0,3379,6,0,0,0,2,94,1,175,13,39,1,153,0,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48414,18,1,0,2803,6,0,0,0,2,94,1,175,10,39,0,153,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48415,18,1,0,2803,6,0,0,0,2,94,1,175,12,39,0,153,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48416,18,1,0,2803,6,0,0,0,2,94,1,175,13,39,0,153,9,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48417,18,1,0,3469,6,0,0,0,2,94,1,175,10,39,1,153,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48418,18,1,0,3469,6,0,0,0,2,94,1,175,12,39,1,153,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48419,18,1,0,3469,6,0,0,0,2,94,1,175,13,39,1,153,11,16,0,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48420,18,1,0,3379,6,0,0,0,2,94,1,175,10,39,1,153,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48421,18,1,0,3379,6,0,0,0,2,94,1,175,12,39,1,153,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48422,18,1,0,3379,6,0,0,0,2,94,1,175,13,39,1,153,0,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48423,18,1,0,2803,6,0,0,0,2,94,1,175,10,39,0,153,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48424,18,1,0,2803,6,0,0,0,2,94,1,175,12,39,0,153,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48425,18,1,0,2803,6,0,0,0,2,94,1,175,13,39,0,153,11,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48426,18,1,0,2803,6,0,0,0,2,94,1,175,10,39,0,153,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48427,18,1,0,2803,6,0,0,0,2,94,1,175,12,39,0,153,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48428,18,1,0,2803,6,0,0,0,2,94,1,175,13,39,0,153,11,16,14,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48429,18,1,0,2803,6,0,0,0,2,94,1,175,10,39,0,153,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48430,18,1,0,2803,6,0,0,0,2,94,1,175,12,39,0,153,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48431,18,1,0,2803,6,0,0,0,2,94,1,175,13,39,0,153,9,16,16,6,0,0.07,0,0.14,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
48432,18,1,0,4563,6,0,0,0,2,141,1,263,10,39,1,153,9,16,0,6,0,0.07,0,0.14,0,sword01,T5_b_sword03,sword01,T5_s_sword03,sword01,T5_f_sword03
48433,18,1,0,4563,6,0,0,0,2,141,1,263,12,39,1,153,9,16,0,6,0,0.07,0,0.14,0,sword01,T5_b_sword03,sword01,T5_s_sword03,sword01,T5_f_sword03
48434,18,1,0,4563,6,0,0,0,2,141,1,263,13,39,1,153,9,16,0,6,0,0.07,0,0.14,0,sword01,T5_b_sword03,sword01,T5_s_sword03,sword01,T5_f_sword03
48435,18,1,0,4473,6,0,0,0,2,141,1,263,10,39,1,153,0,16,14,6,0,0.07,0,0.14,0,sword01,T5_b_sword03,sword01,T5_s_sword03,sword01,T5_f_sword03
48436,18,1,0,4473,6,0,0,0,2,141,1,263,12,39,1,153,0,16,14,6,0,0.07,0,0.14,0,sword01,T5_b_sword03,sword01,T5_s_sword03,sword01,T5_f_sword03
48437,18,1,0,4473,6,0,0,0,2,141,1,263,13,39,1,153,0,16,14,6,0,0.07,0,0.14,0,sword01,T5_b_sword03,sword01,T5_s_sword03,sword01,T5_f_sword03
