KEY,CN,EN
传奇：奇迹护腿,传奇：奇迹护腿,Legend: Miraculous leg guard
传奇：奇迹皮甲,传奇：奇迹皮甲,Legend: Miraculous Leather Armor
传奇：奇迹锤,传奇：奇迹锤,Legend: Miraculous hammer
传奇：奇迹大剑,传奇：奇迹大剑,Legend: Miraculous big sword
传奇：奇迹剑,传奇：奇迹剑,Legend: Miraculous sword
传奇：奇迹权杖,传奇：奇迹权杖,Legend: Miraculous scepter
传奇：奇迹短斧,传奇：奇迹短斧,Legend: Miraculous short axe
传奇：奇迹披肩,传奇：奇迹披肩,Legend: Miraculous shawl
传奇：奇迹臂饰,传奇：奇迹臂饰,Legend: Miracle arm ornament
传奇：奇迹头冠,传奇：奇迹头冠,Legend: Miraculous head crown
传奇：奇迹短靴,传奇：奇迹短靴,Legend: Miraculous short boots
传奇：奇迹长袍,传奇：奇迹长袍,Legend: Miraculous Robe
传奇：史诗巨锤,传奇：史诗巨锤,Legend: Epic hammer
传奇：史诗长剑,传奇：史诗长剑,Legend: Epic sword
传奇：史诗短刀,传奇：史诗短刀,Legend: Epic short knife
传奇：史诗杖,传奇：史诗杖,Legend: Epic Scepter
传奇：史诗手斧,传奇：史诗手斧,Legend: Epic Hand Axe
传奇：史诗火把,传奇：史诗火把,Legend: Epic torch
传奇：史诗肩甲,传奇：史诗肩甲,Legend: Epic shoulder armour
传奇：史诗戒指,传奇：史诗戒指,Legend: Epic ring
传奇：史诗臂甲,传奇：史诗臂甲,Legend: Epic arm armour
传奇：史诗兜鍪,传奇：史诗兜鍪,Legend: Epic ancient helmet
传奇：史诗护符,传奇：史诗护符,Legend: Epic Amulet
传奇：史诗战靴,传奇：史诗战靴,Legend: Epic boots
传奇：史诗板甲,传奇：史诗板甲,Legend: Epic plate armor
传奇：史诗战锤,传奇：史诗战锤,Legend: Epic Warhammer
传奇：史诗直剑,传奇：史诗直剑,Legend: Epic straight sword
传奇：史诗短剑,传奇：史诗短剑,Legend: Epic Swords
传奇：史诗法杖,传奇：史诗法杖,Legend: Epic Scepter
传奇：史诗战斧,传奇：史诗战斧,Legend: Epic Tomahawk
传奇：史诗护肩,传奇：史诗护肩,Legend: Epic pauldrons
传奇：史诗护臂,传奇：史诗护臂,Legend: Epic arm guard
传奇：史诗兜帽,传奇：史诗兜帽,Legend: Epic hood
传奇：史诗吊坠,传奇：史诗吊坠,Legend: Epic Pendant
传奇：史诗护腿,传奇：史诗护腿,Legend: Epic Leg guard
传奇：史诗皮甲,传奇：史诗皮甲,Legend: Epic leather armor
传奇：神圣短锤,传奇：神圣短锤,Legend: Sacred short hammer
传奇：神圣大剑,传奇：神圣大剑,Legend: Sacred big sword
传奇：神圣短剑,传奇：神圣短剑,Legend: Sacred Swords
传奇：神圣魔杖,传奇：神圣魔杖,Legend: Sacred wand
传奇：神圣短斧,传奇：神圣短斧,Legend: Sacred short axe
传奇：神圣火把,传奇：神圣火把,Legend: Sacred torch
传奇：神圣披肩,传奇：神圣披肩,Legend: Sacred shawl
传奇：神圣臂饰,传奇：神圣臂饰,Legend: Sacred arm ornament
传奇：神圣头冠,传奇：神圣头冠,Legend: Sacred head crown
传奇：神圣爪饰,传奇：神圣爪饰,Legend: Sacred claw decorations
传奇：神圣短靴,传奇：神圣短靴,Legend: Sacred boots
传奇：神圣长袍,传奇：神圣长袍,Legend: Sacred Robe
传奇：神圣锤,传奇：神圣锤,Legend: Sacred hammer
传奇：神圣长剑,传奇：神圣长剑,Legend: Sacred sword
传奇：神圣匕首,传奇：神圣匕首,Legend: Sacred Dagger
传奇：神圣权杖,传奇：神圣权杖,Legend: Sacred scepter
传奇：神圣手斧,传奇：神圣手斧,Legend: Sacred Hand Axe
传奇：神圣肩甲,传奇：神圣肩甲,Legend: Sacred shoulder armor
传奇：神圣臂甲,传奇：神圣臂甲,Legend: Sacred arm armor
传奇：神圣兜鍪,传奇：神圣兜鍪,Legend: Sacred ancient helmet
传奇：神圣吊坠,传奇：神圣吊坠,Legend: Sacred Pendant
传奇：神圣战靴,传奇：神圣战靴,Legend: Sacred war boots
传奇：神圣板甲,传奇：神圣板甲,Legend: Sacred plate armour
传奇：神圣巨锤,传奇：神圣巨锤,Legend: Sacred hammer
传奇：神圣直剑,传奇：神圣直剑,Legend: Sacred straight swords
传奇：神圣剑,传奇：神圣剑,Legend: Sacred sword
传奇：神圣杖,传奇：神圣杖,Legend: Sacred wand
传奇：神圣战斧,传奇：神圣战斧,Legend: Sacred battle axe
传奇：神圣护肩,传奇：神圣护肩,Legend: Sacred pauldrons
传奇：神圣护臂,传奇：神圣护臂,Legend: Sacred arm guard
传奇：神圣兜帽,传奇：神圣兜帽,Legend: Sacred hood
传奇：神圣护腿,传奇：神圣护腿,Legend: Sacred leg guard
传奇：神圣皮甲,传奇：神圣皮甲,Legend: Sacred leather armor
橙装：强力巨锤,橙装：强力巨锤,Ancient: Powerful hammer
橙装：强力战锤,橙装：强力战锤,Ancient: Powerful Warhammer
橙装：勇者短锤,橙装：勇者短锤,Ancient: Valiant short hammer
橙装：勇者锤,橙装：勇者锤,Ancient: Valiant hammer
橙装：炽热巨锤,橙装：炽热巨锤,Ancient: Fiery giant hammer
橙装：炽热战锤,橙装：炽热战锤,Ancient: Fiery Warhammer
橙装：灰烬短锤,橙装：灰烬短锤,Ancient: Ember short hammer
橙装：灰烬锤,橙装：灰烬锤,Ancient: Ember hammer
橙装：深海巨锤,橙装：深海巨锤,Ancient: Abyssal giant hammer
橙装：深海战锤,橙装：深海战锤,Ancient: Abyssal Warhammer
橙装：奇迹短锤,橙装：奇迹短锤,Ancient: Miraculous short hammer
橙装：奇迹锤,橙装：奇迹锤,Ancient: Miraculous hammer
橙装：史诗巨锤,橙装：史诗巨锤,Ancient: Epic hammer
橙装：史诗战锤,橙装：史诗战锤,Ancient: Epic Warhammer
橙装：神圣短锤,橙装：神圣短锤,Ancient: Sacred short hammer
橙装：神圣锤,橙装：神圣锤,Ancient: Sacred hammer
橙装：神圣巨锤,橙装：神圣巨锤,Ancient: Sacred hammer
橙装：强力长剑,橙装：强力长剑,Ancient: powerful sword
橙装：强力直剑,橙装：强力直剑,Ancient: powerful straight sword
橙装：勇者大剑,橙装：勇者大剑,Ancient: Valiant big sword
橙装：勇者长剑,橙装：勇者长剑,Ancient: Valiant long sword
橙装：炽热直剑,橙装：炽热直剑,Ancient: Fiery straight sword
橙装：炽热大剑,橙装：炽热大剑,Ancient: Fiery big Sword
橙装：灰烬长剑,橙装：灰烬长剑,Ancient: Ember long sword
橙装：灰烬直剑,橙装：灰烬直剑,Ancient: Ember straight sword
橙装：深海大剑,橙装：深海大剑,Ancient: Abyssal big sword
橙装：深海长剑,橙装：深海长剑,Ancient: Abyssal long sword
橙装：奇迹直剑,橙装：奇迹直剑,Ancient: Miraculous straight sword
橙装：奇迹大剑,橙装：奇迹大剑,Ancient: Miraculous big sword
橙装：史诗长剑,橙装：史诗长剑,Ancient: Epic sword
橙装：史诗直剑,橙装：史诗直剑,Ancient: Epic straight sword
橙装：神圣大剑,橙装：神圣大剑,Ancient: Sacred big sword
橙装：神圣长剑,橙装：神圣长剑,Ancient: Sacred sword
橙装：神圣直剑,橙装：神圣直剑,Ancient: Sacred straight swords
橙装：强力匕首,橙装：强力匕首,Ancient: powerful Dagger
橙装：强力剑,橙装：强力剑,Ancient: powerful sword
橙装：勇者短刀,橙装：勇者短刀,Ancient: Valiant knives
橙装：勇者短剑,橙装：勇者短剑,Ancient: Valiant Swords
橙装：炽热短剑,橙装：炽热短剑,Ancient: Fiery short sword
橙装：炽热匕首,橙装：炽热匕首,Ancient: Fiery Dagger
橙装：灰烬剑,橙装：灰烬剑,Ancient: Ember sword
橙装：灰烬短刀,橙装：灰烬短刀,Ancient: Ember knife
橙装：深海短剑,橙装：深海短剑,Ancient: Abyssal Swords
橙装：奇迹匕首,橙装：奇迹匕首,Ancient: Miraculous Dagger
橙装：奇迹剑,橙装：奇迹剑,Ancient: Miraculous sword
橙装：史诗短刀,橙装：史诗短刀,Ancient: Epic short knife
橙装：史诗短剑,橙装：史诗短剑,Ancient: Epic Swords
橙装：神圣短剑,橙装：神圣短剑,Ancient: Sacred Swords
橙装：神圣匕首,橙装：神圣匕首,Ancient: Sacred Dagger
橙装：神圣剑,橙装：神圣剑,Ancient: Sacred sword
橙装：强力杖,橙装：强力杖,Ancient: powerful scepters
橙装：强力法杖,橙装：强力法杖,Ancient: powerful wand
橙装：勇者魔杖,橙装：勇者魔杖,Ancient: Valiant wand
橙装：勇者权杖,橙装：勇者权杖,Ancient: Valiant sceptre
橙装：炽热杖,橙装：炽热杖,Ancient: Fiery sceptre
橙装：炽热法杖,橙装：炽热法杖,Ancient: Fiery wand
橙装：灰烬魔杖,橙装：灰烬魔杖,Ancient: Ember wand
橙装：灰烬权杖,橙装：灰烬权杖,Ancient: Ember Scepter
橙装：深海杖,橙装：深海杖,Ancient: Abyssal sceptre
橙装：深海法杖,橙装：深海法杖,Ancient: Abyssal wand
橙装：奇迹魔杖,橙装：奇迹魔杖,Ancient: Miraculous wand
橙装：奇迹权杖,橙装：奇迹权杖,Ancient: Miraculous scepter
橙装：史诗杖,橙装：史诗杖,Ancient: Epic Scepter
橙装：史诗法杖,橙装：史诗法杖,Ancient: Epic wand
橙装：神圣魔杖,橙装：神圣魔杖,Ancient: Sacred wand
橙装：神圣权杖,橙装：神圣权杖,Ancient: Sacred scepter
橙装：神圣杖,橙装：神圣杖,Ancient: Sacred stave
橙装：强力手斧,橙装：强力手斧,Ancient: powerful Hand Axe
橙装：强力战斧,橙装：强力战斧,Ancient: powerful battle axe
橙装：勇者短斧,橙装：勇者短斧,Ancient: Valiant short axe
橙装：勇者手斧,橙装：勇者手斧,Ancient: Valiant Hand Axe
橙装：炽热战斧,橙装：炽热战斧,Ancient: Fiery battle axe
橙装：炽热短斧,橙装：炽热短斧,Ancient: Fiery short axe
橙装：灰烬手斧,橙装：灰烬手斧,Ancient: Ember Hand Axe
橙装：灰烬战斧,橙装：灰烬战斧,Ancient: Ember battle axe
橙装：深海短斧,橙装：深海短斧,Ancient: Abyssal short axe
橙装：深海手斧,橙装：深海手斧,Ancient: Abyssal Hand Axe
橙装：奇迹战斧,橙装：奇迹战斧,Ancient: Miraculous Battle Axe
橙装：奇迹短斧,橙装：奇迹短斧,Ancient: Miraculous short axe
橙装：史诗手斧,橙装：史诗手斧,Ancient: Epic Hand Axe
橙装：史诗战斧,橙装：史诗战斧,Ancient: Epic Tomahawk
橙装：神圣短斧,橙装：神圣短斧,Ancient: Sacred short axe
橙装：神圣手斧,橙装：神圣手斧,Ancient: Sacred Hand Axe
橙装：神圣战斧,橙装：神圣战斧,Ancient: Sacred battle axe
橙装：强力火把,橙装：强力火把,Ancient: powerful torch
橙装：勇者火把,橙装：勇者火把,Ancient: Valiant torch
橙装：炽热火把,橙装：炽热火把,Ancient: Fiery torch
橙装：灰烬火把,橙装：灰烬火把,Ancient: Ember torch
橙装：深海火把,橙装：深海火把,Ancient: Abyssal torch
橙装：奇迹火把,橙装：奇迹火把,Ancient: Miraculous torch
橙装：史诗火把,橙装：史诗火把,Ancient: Epic torch
橙装：神圣火把,橙装：神圣火把,Ancient: Sacred torch
橙装：强力垫肩,橙装：强力垫肩,Ancient: powerful shoulder pads
橙装：强力护肩,橙装：强力护肩,Ancient: powerful Pauldrons
橙装：勇者披肩,橙装：勇者披肩,Ancient: Valiant shawl
橙装：勇者垫肩,橙装：勇者垫肩,Ancient: Valiant shoulder pads
橙装：炽热护肩,橙装：炽热护肩,Ancient: Fiery pauldrons
橙装：炽热披肩,橙装：炽热披肩,Ancient: Fiery shawl
橙装：灰烬肩甲,橙装：灰烬肩甲,Ancient: Ember shoulder armour
橙装：灰烬护肩,橙装：灰烬护肩,Ancient: Ember pauldrons
橙装：深海披肩,橙装：深海披肩,Ancient: Abyssal shawl
橙装：深海肩甲,橙装：深海肩甲,Ancient: Abyssal shoulder armour
橙装：奇迹护肩,橙装：奇迹护肩,Ancient: Miraculous pauldrons
橙装：奇迹披肩,橙装：奇迹披肩,Ancient: Miraculous shawl
橙装：史诗肩甲,橙装：史诗肩甲,Ancient: Epic shoulder armour
橙装：史诗护肩,橙装：史诗护肩,Ancient: Epic pauldrons
橙装：神圣披肩,橙装：神圣披肩,Ancient: Sacred shawl
橙装：神圣肩甲,橙装：神圣肩甲,Ancient: Sacred shoulder armor
橙装：神圣护肩,橙装：神圣护肩,Ancient: Sacred pauldrons
橙装：强力戒指,橙装：强力戒指,Ancient: powerful ring
橙装：勇者戒指,橙装：勇者戒指,Ancient: Valiant ring
橙装：炽热戒指,橙装：炽热戒指,Ancient: Fiery ring
橙装：灰烬戒指,橙装：灰烬戒指,Ancient: Ember ring
橙装：深海戒指,橙装：深海戒指,Ancient: Abyssal ring
橙装：奇迹戒指,橙装：奇迹戒指,Ancient: Miraculous ring
橙装：史诗戒指,橙装：史诗戒指,Ancient: Epic ring
橙装：神圣戒指,橙装：神圣戒指,Ancient: Sacred ring
橙装：强力臂章,橙装：强力臂章,Ancient: powerful armband
橙装：强力护臂,橙装：强力护臂,Ancient: powerful armguard
橙装：勇者臂饰,橙装：勇者臂饰,Ancient: Valiant arm ornament
橙装：勇者臂章,橙装：勇者臂章,Ancient: Valiant armband
橙装：炽热护臂,橙装：炽热护臂,Ancient: Fiery armguard
橙装：炽热臂饰,橙装：炽热臂饰,Ancient: Fiery arm ornament
橙装：灰烬臂甲,橙装：灰烬臂甲,Ancient: Ember arm armour
橙装：灰烬护臂,橙装：灰烬护臂,Ancient: Ember arm guard
橙装：深海臂饰,橙装：深海臂饰,Ancient: Abyssal arm ornament
橙装：深海臂甲,橙装：深海臂甲,Ancient: Abyssal arm armour
橙装：奇迹护臂,橙装：奇迹护臂,Ancient: Miraculous arm guard
橙装：奇迹臂饰,橙装：奇迹臂饰,Ancient: Miraculous arm ornament
橙装：史诗臂甲,橙装：史诗臂甲,Ancient: Epic arm armour
橙装：史诗护臂,橙装：史诗护臂,Ancient: Epic arm guard
橙装：神圣臂饰,橙装：神圣臂饰,Ancient: Sacred arm ornament
橙装：神圣臂甲,橙装：神圣臂甲,Ancient: Sacred arm armor
橙装：神圣护臂,橙装：神圣护臂,Ancient: Sacred arm guard
橙装：强力头盔,橙装：强力头盔,Ancient: powerful helmet
橙装：强力兜帽,橙装：强力兜帽,Ancient: powerful hood
橙装：勇者头冠,橙装：勇者头冠,Ancient: Valiant helmet
橙装：勇者头盔,橙装：勇者头盔,Ancient: Valiant helmet
橙装：炽热兜帽,橙装：炽热兜帽,Ancient: Fiery hood
橙装：炽热头冠,橙装：炽热头冠,Ancient: Fiery head crown
橙装：灰烬兜鍪,橙装：灰烬兜鍪,Ancient: Ember ancient helmet
橙装：灰烬兜帽,橙装：灰烬兜帽,Ancient: Ember hood
橙装：深海头冠,橙装：深海头冠,Ancient: Abyssal head crown
橙装：深海兜鍪,橙装：深海兜鍪,Ancient: Abyssal ancient helmet
橙装：奇迹兜帽,橙装：奇迹兜帽,Ancient: Miraculous hood
橙装：奇迹头冠,橙装：奇迹头冠,Ancient: Miraculous head crown
橙装：史诗兜鍪,橙装：史诗兜鍪,Ancient: Epic ancient helmet
橙装：史诗兜帽,橙装：史诗兜帽,Ancient: Epic hood
橙装：神圣头冠,橙装：神圣头冠,Ancient: Sacred head crown
橙装：神圣兜鍪,橙装：神圣兜鍪,Ancient: Sacred ancient helmet
橙装：神圣兜帽,橙装：神圣兜帽,Ancient: Sacred hood
橙装：强力爪饰,橙装：强力爪饰,Ancient: Powerful claw decorations
橙装：强力吊坠,橙装：强力吊坠,Ancient: powerful Pendant
橙装：勇者吊坠,橙装：勇者吊坠,Ancient: Valiant Pendant
橙装：炽热吊坠,橙装：炽热吊坠,Ancient: Fiery Pendant
橙装：炽热护符,橙装：炽热护符,Ancient: Fiery amulet
橙装：灰烬吊坠,橙装：灰烬吊坠,Ancient: Ember Pendant
橙装：灰烬爪饰,橙装：灰烬爪饰,Ancient: Ember claw decorations
橙装：深海吊坠,橙装：深海吊坠,Ancient: Abyssal Pendant
橙装：奇迹吊坠,橙装：奇迹吊坠,Ancient: Miraculous Pendant
橙装：史诗护符,橙装：史诗护符,Ancient: Epic Amulet
橙装：史诗吊坠,橙装：史诗吊坠,Ancient: Epic Pendant
橙装：神圣爪饰,橙装：神圣爪饰,Ancient: Sacred claw decorations
橙装：神圣吊坠,橙装：神圣吊坠,Ancient: Sacred Pendant
橙装：强力长靴,橙装：强力长靴,Ancient: powerful boots
橙装：强力护腿,橙装：强力护腿,Ancient: powerful leg protection
橙装：勇者短靴,橙装：勇者短靴,Ancient: Valiant short boots
橙装：勇者长靴,橙装：勇者长靴,Ancient: Valiant boots
橙装：炽热护腿,橙装：炽热护腿,Ancient: Fiery leg guard
橙装：炽热短靴,橙装：炽热短靴,Ancient: Fiery short boots
橙装：灰烬战靴,橙装：灰烬战靴,Ancient: Ember battle boots
橙装：灰烬护腿,橙装：灰烬护腿,Ancient: Ember leg guard
橙装：深海短靴,橙装：深海短靴,Ancient: Abyssal boots
橙装：深海战靴,橙装：深海战靴,Ancient: Abyssal battle boots
橙装：奇迹护腿,橙装：奇迹护腿,Ancient: Miraculous leg guard
橙装：奇迹短靴,橙装：奇迹短靴,Ancient: Miraculous short boots
橙装：史诗战靴,橙装：史诗战靴,Ancient: Epic battle boots
橙装：史诗护腿,橙装：史诗护腿,Ancient: Epic leg guard
橙装：神圣短靴,橙装：神圣短靴,Ancient: Sacred boots
橙装：神圣战靴,橙装：神圣战靴,Ancient: Sacred battle boots
橙装：神圣护腿,橙装：神圣护腿,Ancient: Sacred leg guard
橙装：强力重甲,橙装：强力重甲,Ancient: powerful weighted armor
橙装：强力皮甲,橙装：强力皮甲,Ancient: powerful leather armor
橙装：勇者长袍,橙装：勇者长袍,Ancient: Valiant Robe
橙装：勇者重甲,橙装：勇者重甲,Ancient: Valiant weighted armor
橙装：炽热皮甲,橙装：炽热皮甲,Ancient: Fiery leather armor
橙装：炽热长袍,橙装：炽热长袍,Ancient: Fiery Robe
橙装：灰烬板甲,橙装：灰烬板甲,Ancient: Ember plate armour
橙装：灰烬皮甲,橙装：灰烬皮甲,Ancient: Ember leather armor
橙装：深海长袍,橙装：深海长袍,Ancient: Abyssal Robe
橙装：深海板甲,橙装：深海板甲,Ancient: Abyssal plate armour
橙装：奇迹皮甲,橙装：奇迹皮甲,Ancient: Miraculous Leather Armor
橙装：奇迹长袍,橙装：奇迹长袍,Ancient: Miraculous Robe
橙装：史诗板甲,橙装：史诗板甲,Ancient: Epic plate armor
橙装：史诗皮甲,橙装：史诗皮甲,Ancient: Epic leather armor
橙装：神圣长袍,橙装：神圣长袍,Ancient: Sacred Robe
橙装：神圣板甲,橙装：神圣板甲,Ancient: Sacred plate armour
橙装：神圣皮甲,橙装：神圣皮甲,Ancient: Sacred leather armor
好战长剑,好战长剑,A belligerent sword
幸运火把,幸运火把,Lucky torch
新锐戒指,新锐戒指,cutting-edge ring
新锐项链,新锐项链,cutting-edge necklace
铁匠长剑,铁匠长剑,blacksmith's sword
1级原罪戒指,1级原罪戒指,Lv.1 sin ring
2级原罪戒指,2级原罪戒指,Lv.2 sin ring
3级原罪戒指,3级原罪戒指,Lv.3 sin ring
4级原罪戒指,4级原罪戒指,Lv.4 sin ring
5级原罪戒指,5级原罪戒指,Lv.5 sin ring
6级原罪戒指,6级原罪戒指,Lv.6 sin ring
7级原罪戒指,7级原罪戒指,Lv.7 sin ring
8级原罪戒指,8级原罪戒指,Lv.8 sin ring
9级原罪戒指,9级原罪戒指,Lv.9 sin ring
10级原罪戒指,10级原罪戒指,Lv.10 sin ring
金币袋子,金币袋子,Gold coin bag
金币箱子,金币箱子,Gold coin box
钻石袋子,钻石袋子,Diamond bag
钻石箱子,钻石箱子,Diamond box
GoodsItem简介,GoodsItem简介,GoodsItem introduction
符文分解获得的粉末,符文分解获得的粉末,The powder obtained from Rune decomposition
人类英雄专用升阶材料，适用2-6阶,人类英雄专用升阶材料，适用2-6阶,Advanced materials for human heroes from lv.2 to lv.6
人类英雄专用升阶材料，适用7-13阶,人类英雄专用升阶材料，适用7-13阶,Advanced materials for human heroes from lv.7 to lv.13
人类英雄专用升阶材料，适用14-20阶,人类英雄专用升阶材料，适用14-20阶,Advanced materials for human heroes from lv.14 to lv.20
人类英雄专用升阶材料，适用21-25阶,人类英雄专用升阶材料，适用21-25阶,Advanced materials for human heroes from lv.21 to lv.25
精灵英雄专用升阶材料，适用2-6阶,精灵英雄专用升阶材料，适用2-6阶,Advanced materials for elf heroes from lv.2 to lv.6
精灵英雄专用升阶材料，适用7-13阶,精灵英雄专用升阶材料，适用7-13阶,Advanced materials for elf heroes from lv.7 to lv.13
精灵英雄专用升阶材料，适用14-20阶,精灵英雄专用升阶材料，适用14-20阶,Advanced materials for elf heroes from lv.14 to lv.20
精灵英雄专用升阶材料，适用21-25阶,精灵英雄专用升阶材料，适用21-25阶,Advanced materials for elf heroes from lv.21 to lv.25
亡灵英雄专用升阶材料，适用2-6阶,亡灵英雄专用升阶材料，适用2-6阶,Advanced materials for ghost heroes from lv.2 to lv.6
亡灵英雄专用升阶材料，适用7-13阶,亡灵英雄专用升阶材料，适用7-13阶,Advanced materials for ghost heroes from lv.7 to lv.13
亡灵英雄专用升阶材料，适用14-20阶,亡灵英雄专用升阶材料，适用14-20阶,Advanced materials for ghost heroes from lv.14 to lv.20
亡灵英雄专用升阶材料，适用21-25阶,亡灵英雄专用升阶材料，适用21-25阶,Advanced materials for ghost heroes from lv.21 to lv.25
通用升阶材料，适用2-6阶,通用升阶材料，适用2-6阶,Advanced materials for common use from lv.2 to lv.6
通用升阶材料，适用7-13阶,通用升阶材料，适用7-13阶,Advanced materials for common use from lv.7 to lv.13
通用升阶材料，适用14-20阶,通用升阶材料，适用14-20阶,Advanced materials for common use from lv.14 to lv.20
通用升阶材料，适用21-25阶,通用升阶材料，适用21-25阶,Advanced materials for common use from lv.21 to lv.25
武器强化材料，适用1-5星,武器强化材料，适用1-5星,Weapon reinforcement material for 1-5 stars
武器强化材料，适用6-8星,武器强化材料，适用6-8星,Weapon reinforcement material for 6-8 stars
武器强化材料，适用9-10星,武器强化材料，适用9-10星,Weapon reinforcement material for 9-10 stars
防具强化材料，适用1-5星,防具强化材料，适用1-5星,Armor reinforcement material for 1-5 stars
防具强化材料，适用6-8星,防具强化材料，适用6-8星,Armor reinforcement material for 6-8 stars
防具强化材料，适用9-10星,防具强化材料，适用9-10星,Armor reinforcement material for 9-10 stars
首饰强化材料，适用1-5星,首饰强化材料，适用1-5星,Jewelry reinforcement for 1-5 stars
首饰强化材料，适用6-8星,首饰强化材料，适用6-8星,Jewelry reinforcement for 6-8 stars
首饰强化材料，适用9-10星,首饰强化材料，适用9-10星,Jewelry reinforcement for 9-10 stars
武器制作材料，适用1-5星,武器制作材料，适用1-5星,Weapon making material for 1-5 stars
武器制作材料，适用6-8星,武器制作材料，适用6-8星,Weapon making material for 6-8 stars
武器制作材料，适用9-10星,武器制作材料，适用9-10星,Weapon making material for 9-10 stars
防具制作材料，适用1-5星,防具制作材料，适用1-5星,Armor making materials for 1-5 stars
防具制作材料，适用6-8星,防具制作材料，适用6-8星,Armor making materials for 6-8 stars
防具制作材料，适用9-10星,防具制作材料，适用9-10星,Armor making materials for 9-10 stars
首饰制作材料，适用1-5星,首饰制作材料，适用1-5星,Jewelry making materials for 1-5 stars
首饰制作材料，适用6-8星,首饰制作材料，适用6-8星,Jewelry making materials for 6-8 stars
首饰制作材料，适用9-10星,首饰制作材料，适用9-10星,Jewelry making materials for 9-10 stars
制作回城卷轴的必备材料,制作回城卷轴的必备材料,Essential materials for return scroll production
制作全亮卷轴的必备材料,制作全亮卷轴的必备材料,Essential materials for bright scrolls production
制作血瓶的必备材料,制作血瓶的必备材料,Essential materials for blood bottles production
制作能量药剂的必备材料,制作能量药剂的必备材料,Essential materials for energy medicament production
制作药剂的一种材料,制作药剂的一种材料,A material for medicaments production.
嚼起来，嘎嘣脆,嚼起来，嘎嘣脆,Chew up  crispy
不要拿走我的金闪闪,不要拿走我的金闪闪,Don't take away my golden flash.
韧劲十足，根本停不下来,韧劲十足，根本停不下来,Tenacity  can't stop.
鲜的能掐出绿水的枝叶,鲜的能掐出绿水的枝叶,jucy green branches and leaves
制作装备、强化装备的万用材料,制作装备、强化装备的万用材料,A versatile material for making equipment and strengthening equipment
货币啊少年，货币啊！,货币啊少年，货币啊！,Money  young man  Money!
物理攻击最大值 + 9|物理攻击最小值 + 3|,物理攻击最大值 + 9|物理攻击最小值 + 3|,ATK maximum + 9| ATK minimum + 3|
物理攻击最大值 + 6|物理攻击最小值 + 6|,物理攻击最大值 + 6|物理攻击最小值 + 6|,ATK maximum + 6| ATK minimum + 6|
物理防御最大值 + 12|物理防御最小值 + 4|,物理防御最大值 + 12|物理防御最小值 + 4|,DEF maximum + 12| DEF minimum + 4|
物理防御最大值 + 8|物理防御最小值 + 8|,物理防御最大值 + 8|物理防御最小值 + 8|,DEF maximum + 8| DEF minimum + 8|
血量 + 50|能量 + 20|,血量 + 50|能量 + 20|,HP + 50| MP + 20|
能量 + 40|血量 + 25|,能量 + 40|血量 + 25|,MP + 40| HP + 25|
额外金币 + 10|,额外金币 + 10|,Extra gold + 10|
幸运值 + 1|,幸运值 + 1|,LUK + 1|
冰属性攻击 + 5|冰属性防御 + 3|,冰属性攻击 + 5|冰属性防御 + 3|,Ice ATK + 5| ice DEF + 3|
火属性攻击 + 5|火属性防御 + 3|,火属性攻击 + 5|火属性防御 + 3|,Fire ATK + 5| fire DEF + 3|
毒属性攻击 + 5|毒属性防御 + 3|,毒属性攻击 + 5|毒属性防御 + 3|,toxic ATK + 5| toxic DEF + 3|
光属性攻击 + 5|光属性防御 + 3|,光属性攻击 + 5|光属性防御 + 3|,Light ATK + 5| light DEF + 3|
暗属性攻击 + 5|暗属性防御 + 3|,暗属性攻击 + 5|暗属性防御 + 3|,Dark ATK + 5| dark DEF + 3|
物理攻击最大值 + 18|物理攻击最小值 + 6|,物理攻击最大值 + 18|物理攻击最小值 + 6|,ATK MAX + 18| ATK MIN + 6|
物理攻击最大值 + 12|物理攻击最小值 + 12|,物理攻击最大值 + 12|物理攻击最小值 + 12|,ATK MAX + 12| ATK MIN + 12|
物理防御最大值 + 17|物理防御最小值 + 6|,物理防御最大值 + 17|物理防御最小值 + 6|,DEF MAX + 17| DEF MIN + 6|
物理防御最大值 + 11|物理防御最小值 + 11|,物理防御最大值 + 11|物理防御最小值 + 11|,DEF MAX + 11| DEF MIN + 11|
血量 + 100|能量 + 40|,血量 + 100|能量 + 40|,HP + 100| MP + 40|
能量 + 80|血量 + 50|,能量 + 80|血量 + 50|,MP + 80| HP + 50|
额外金币 + 15|,额外金币 + 15|,Extra gold + 15|
幸运值 + 3|,幸运值 + 3|,LUK + 3|
冰属性攻击 + 10|冰属性防御 + 6|,冰属性攻击 + 10|冰属性防御 + 6|,Ice ATK + 10| ice DEF + 6|
火属性攻击 + 10|火属性防御 + 6|,火属性攻击 + 10|火属性防御 + 6|,Fire ATK + 10| fire DEF + 6|
毒属性攻击 + 10|毒属性防御 + 6|,毒属性攻击 + 10|毒属性防御 + 6|,toxic ATK + 10| toxic DEF + 6|
光属性攻击 + 10|光属性防御 + 6|,光属性攻击 + 10|光属性防御 + 6|,Light ATK + 10| light DEF + 6|
暗属性攻击 + 10|暗属性防御 + 6|,暗属性攻击 + 10|暗属性防御 + 6|,Dark ATK + 10| dark DEF + 6|
物理攻击最大值 + 27|物理攻击最小值 + 9|暴击伤害 + 0.01,物理攻击最大值 + 27|物理攻击最小值 + 9|暴击伤害 + 0.01,Max ATK + 27|Min ATK + 9| crit damage + 0.01
